Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_02_505.jpg;0;0;0;0;99.66999;85.58897;0.0002389212;41.63687;-2.309906E-05
Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_02_571.jpg;0;0;0;0;99.66999;85.58897;0.0002382039;41.63687;-2.254375E-05
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_02_637.jpg;0;0;0;0;99.66999;85.58897;0.0002372661;41.63687;-2.097611E-05
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_02_704.jpg;0;0;0;0;99.66999;85.58897;0.0002364792;41.63687;-1.922368E-05
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_02_771.jpg;0;0;0;0;99.66999;85.58897;0.0002357877;41.63687;-1.690198E-05
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_02_838.jpg;0;0;0;0;99.66999;85.58897;0.0002351577;41.63687;-1.367524E-05
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_02_905.jpg;0;0;0;0;99.66999;85.58897;0.0002348893;41.63687;-1.151448E-05
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_02_971.jpg;0;0;0;0;99.66999;85.58897;0.0002344899;41.63687;-9.061639E-06
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_03_037.jpg;0;0;0;0;99.66999;85.58897;0.0002335241;41.63687;-5.868696E-06
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_03_105.jpg;0;0;0;0;99.66999;85.58897;0.000233222;41.63687;-3.372149E-06
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_03_171.jpg;0;0;0;0;99.66999;85.58897;0.0002334842;41.63687;-1.090158E-06
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_03_237.jpg;0;0.09937477;0;0;99.67046;85.58939;0.0142485;41.63734;1.45992E-06
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_03_304.jpg;0;0.2969971;0;0;99.67096;85.58983;0.02760991;41.64266;-1.812268E-05
