,date,stock_id,StockExDividendTradingDate,CashExDividendTradingDate,CashDividendPaymentDate,TotalStock,TotalCash,Name
0,2023-05-30,0056,,2021-10-22,2022-04-25,0.0,1.8,元大高股息
0,2023-05-23,00878,,2023-05-17,2023-06-12,0.0,0.27,國泰高股息
0,2023-06-09,2105,,2023-06-01,2023-07-07,0.0,1.4,正新
0,2023-07-06,2412,,2023-06-29,2023-08-04,0.0,4.702,中華電
0,2023-07-08,3045,,2023-06-30,2023-07-26,0.0,4.3,台灣大
1,2023-07-24,0056,,2023-07-18,2023-08-11,0.0,1.0,元大高股息
0,2023-08-19,2892,2023-08-11,2023-08-11,2023-08-31,0.3,0.8,第一金
1,2023-08-22,00878,,2023-08-16,2023-09-11,0.0,0.0,國泰高股息
