日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/01/02,"2,797,693","313,544,451",112.50,113.00,111.50,112.50,+0.50,"1,036"
109/01/03,"4,297,975","482,319,675",112.50,112.50,112.00,112.50, 0.00,"1,900"
109/01/06,"4,203,858","467,414,647",112.00,112.00,110.50,110.50,-2.00,"2,259"
109/01/07,"11,932,990","1,308,443,900",110.50,111.00,109.00,109.50,-1.00,"3,839"
109/01/08,"6,060,571","662,027,810",109.50,110.00,108.50,109.50, 0.00,"2,877"
109/01/09,"5,292,412","582,516,997",109.50,110.50,109.00,110.00,+0.50,"2,625"
109/01/10,"3,697,896","405,982,560",110.00,110.00,109.50,109.50,-0.50,"1,564"
109/01/13,"13,509,666","1,468,769,904",109.50,110.00,108.00,109.00,-0.50,"4,194"
109/01/14,"5,593,979","607,050,211",108.50,109.00,108.00,108.50,-0.50,"3,074"
109/01/15,"7,583,824","817,435,316",108.50,108.50,107.50,108.00,-0.50,"3,180"
109/01/16,"4,056,168","438,316,812",108.00,108.50,107.50,108.00, 0.00,"2,052"
109/01/17,"3,290,668","357,388,625",108.00,109.00,108.00,109.00,+1.00,"1,242"
109/01/20,"2,866,907","311,929,363",109.00,109.00,108.50,108.50,-0.50,"1,194"
109/01/30,"9,538,226","1,025,677,408",108.50,109.00,107.00,107.00,-1.50,"4,170"
109/01/31,"6,893,194","742,936,952",107.00,108.50,107.00,107.00, 0.00,"2,214"
109/02/03,"3,786,612","407,973,386",107.00,108.00,107.00,108.00,+1.00,"2,224"
109/02/04,"3,209,736","345,878,988",107.50,108.00,107.50,107.50,-0.50,"1,207"
109/02/05,"4,594,312","496,548,340",107.50,108.50,107.50,108.00,+0.50,"2,237"
109/02/06,"3,477,076","377,627,284",108.50,109.00,108.00,108.50,+0.50,"1,690"
109/02/07,"3,251,917","350,435,036",108.50,108.50,107.50,107.50,-1.00,"1,930"
109/02/10,"3,426,491","369,697,766",108.00,108.00,107.50,108.00,+0.50,"1,715"
109/02/11,"2,712,988","292,924,204",108.00,108.50,107.50,107.50,-0.50,"1,485"
109/02/12,"7,132,170","766,595,360",107.50,108.00,107.00,107.00,-0.50,"3,051"
109/02/13,"2,611,001","281,274,097",107.50,108.00,107.50,108.00,+1.00,"1,047"
109/02/14,"2,201,294","238,675,046",108.00,109.00,107.50,109.00,+1.00,"1,078"
109/02/17,"2,302,888","251,108,723",108.50,109.50,108.50,109.50,+0.50,"1,399"
109/02/18,"3,847,643","419,675,587",109.50,109.50,108.50,108.50,-1.00,"1,971"
109/02/19,"3,114,523","338,791,507",109.00,109.50,108.50,108.50, 0.00,"1,407"
109/02/20,"4,392,107","478,188,663",109.00,109.50,108.50,108.50, 0.00,"1,173"
109/02/21,"3,985,815","432,493,835",109.00,109.00,108.00,108.50, 0.00,"1,482"
109/02/24,"10,409,416","1,115,882,699",108.00,108.50,106.50,106.50,-2.00,"4,716"
109/02/25,"4,708,502","501,056,214",106.50,107.00,106.00,106.50, 0.00,"2,495"
109/02/26,"7,730,537","816,787,922",106.00,106.50,105.00,105.50,-1.00,"4,195"
109/02/27,"5,159,121","542,521,246",105.00,105.50,105.00,105.00,-0.50,"2,425"
109/03/02,"11,591,409","1,199,298,036",104.50,104.50,102.50,103.00,-2.00,"6,215"
